last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
105.1,100001001,0401,2018-06-29,14,45,11,0.714968153,0.069532909,14,0,,
27.4,100001001,0401,2018-06-29,15,48,3,0.753715499,0.038747346,11,0,,
9.8,100001001,0401,2018-06-29,16,49,1,0.77866242,0.024946921,10,0,,
0,100001001,0401,2018-06-29,17,49,0,0.803609342,0.024946921,10,0,,
15.8,100001001,0401,2018-06-29,18,51,2,0.845010616,0.041401274,8,0,,
0,100001001,0401,2018-06-29,19,51,0,0.875796178,0.030785563,8,1,7.9,
15.48,100001001,0401,2018-06-29,20,53,2,0.901804671,0.026008493,6,1,7.9,
7.74,100001001,0401,2018-06-29,21,54,1,0.930997877,0.029193206,5,1,7.9,
14.99,100001001,0401,2018-06-29,22,56,2,0.963375796,0.032377919,3,1,6.9,
6.76,100001001,0401,2018-06-29,23,57,1,0.983545648,0.020169851,2,1,3.9,
102.89,100001001,0401,2018-07-02,13,17,13,0.633643617,0.20212766,49,1,6.9,
24.1,100001001,0401,2018-07-02,14,20,3,0.706117021,0.072473404,46,1,6.9,
27.8,100001001,0401,2018-07-02,15,24,4,0.738696809,0.032579787,42,1,5.9,
12.86,100001001,0401,2018-07-02,16,27,3,0.777260638,0.03856383,38,1,5.9,
7.84,100001001,0401,2018-07-02,17,29,2,0.798537234,0.021276596,37,1,5.9,
5.78,100001001,0401,2018-07-02,18,30,1,0.830452128,0.031914894,36,1,5.9,
16.43,100001001,0401,2018-07-02,19,33,3,0.870345745,0.039893617,33,1,3.9,
18.32,100001001,0401,2018-07-02,20,36,3,0.916888298,0.046542553,30,1,3.9,
0,100001001,0401,2018-07-02,21,36,0,0.942819149,0.025930851,30,1,3.9,
0,100001001,0401,2018-07-02,22,36,0,0.967420213,0.024601064,30,1,3.9,
51.84,100001001,0401,2018-07-02,23,43,7,0.986037234,0.018617021,23,1,2.9,
117,100001001,0401,2018-07-03,13,18,15,0.621875,0.19375,46,1,6.9,
8,100001001,0401,2018-07-03,14,19,1,0.699375,0.0775,45,1,6.9,
11.84,100001001,0401,2018-07-03,15,21,2,0.74,0.040625,43,1,5.9,
12.61,100001001,0401,2018-07-03,16,23,2,0.77,0.03,41,1,5.9,
3.04,100001001,0401,2018-07-03,17,24,1,0.8,0.03,39,1,5.9,
5.78,100001001,0401,2018-07-03,18,25,1,0.83625,0.03625,38,1,5.9,
9.59,100001001,0401,2018-07-03,19,27,2,0.879375,0.043125,37,1,5.9,
11.94,100001001,0401,2018-07-03,20,30,3,0.91875,0.039375,34,1,5.9,
8.9,100001001,0401,2018-07-03,21,32,2,0.94125,0.0225,32,1,4.9,
8.23,100001001,0401,2018-07-03,22,34,2,0.9625,0.02125,30,1,4.9,
13.22,100001001,0401,2018-07-03,23,37,3,0.985,0.0225,27,1,4.9,
150.59,100001001,0401,2018-07-04,13,27,18,0.625218914,0.17571512,29,1,6.9,
22.06,100001001,0401,2018-07-04,14,30,3,0.715119673,0.089900759,26,1,6.9,
